관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"130905930","(How so? 필독도서 세계 명작문학) 사랑의 학교","에드몬도 데 아미치스 지음;황인원 엮음;서선미 그림","","2019","9791157560530","","7","21","808.3","1","0","2019-12-24",
"130905929","(How so? 필독도서 세계 명작문학) 괴도 신사 아르센 뤼팽","모리스 르블랑 지음;김상진 엮음;황종욱 그림","","2019","9791157560394","","7","20","808.3","1","0","2019-12-24",
"130905928","(How so? 필독도서 세계 명작문학) 명탐정 셜록 홈즈","아서 코넌 도일 지음;김상진 엮음;한재홍 그림","","2019","9791157560387","","7","19","808.3","1","0","2019-12-24",
"130905927","(How so? 필독도서 세계 명작문학) 파랑새","모리스 마테를링크 지음;유혜영 엮음;이갑규 그림","","2019","9791157560196","","7","18","808.3","1","0","2019-12-24",
"130905926","(How so? 필독도서 세계 명작문학) 메리 포핀스","파멜라 린든 트래버스 지음;김상진 엮음;신유미 그림","","2019","9791157560080","","7","17","808.3","1","0","2019-12-24",
"130905925","(How so? 필독도서 세계 명작문학) 피노키오의 모험","카를로 콜로디 지음;신이주 엮음;김혜영 그림","","2019","9791157560288","","7","16","808.3","1","0","2019-12-24",
"130905924","(How so? 필독도서 세계 명작문학) 보물섬 ","로버트 스티븐슨 지음 ;김경우 엮음 ;이희탁 그림","","[2019]","9791157560318","","7","15","808.3","1","1","2019-12-24",
"130905923","(How so? 필독도서 세계 명작문학) 15소년 표류기","쥘 베른 지음;서장원 엮음;원유성 그림","","2019","9791157560301","","7","14","808.3","1","0","2019-12-24",
"130905922","(How so? 필독도서 세계 명작문학) 라디스의 모험","호세 산체스 실바 지음;전민희 엮음;김명곤 그림","","2019","9791157560332","","7","13","808.3","1","0","2019-12-24",
"130905921","(How so? 필독도서 세계 명작문학) 정글 북","러디어드 키플링 지음;서장원 엮음;송수미 그림","","2018","9791157560073","","7","12","808.3","1","0","2019-12-24",
"130905920","(How so? 필독도서 세계 명작문학) 철가면","포르튀네 뒤 부아고베 지음;김경란 엮음;이현주 그림","한국셰익스피어","2019","9791157565306","","7","11","808.3","1","0","2019-12-24",
"130905919","(How so? 필독도서 세계 명작문학) 돌리틀 선생의 항해기 ","휴 로프팅 지음 ;김상진 엮음 ;서선미 그림","","[2019]","9791157560370","","7","10","808.3","1","0","2019-12-24",
"130905918","(How so? 필독도서 세계 명작문학) 80일간의 세계 일주 ","쥘 베른 지음 ;정재은 엮음 ;이갑규 그림","","[2019]","9791157560110","","7","9","808.3","1","0","2019-12-24",
"130905917","(How so? 필독도서 세계 명작문학) 꿀벌 마야의 모험 ","발데마르 본젤스 지음 ;서장원 엮음 ;이신정 그림","","[2019]","9791157560295","","7","8","808.3","1","0","2019-12-24",
"130905916","(How so? 필독도서 세계 명작문학) 이상한 나라의 앨리스 ","루이스 캐럴 지음 ;신정민 엮음 ;김병남 그림","","[2019]","9791157560066","","7","7","808.3","1","0","2019-12-24",
"130905915","(How so? 필독도서 세계 명작문학) 오즈의 마법사 ","프랭크 바움 지음 ;유혜영 엮음 ;장선환 그림","","[2019]","9791157560028","","7","6","808.3","1","0","2019-12-24",
"130905914","(How so? 필독도서 세계 명작문학) 피터팬의 모험 ","제임스 매튜 배리 지음 ;박찬미 엮음 ;김주연 그림","","[2019]","9791157560042","","7","5","808.3","1","0","2019-12-24",
"130905913","(How so? 필독도서 세계 명작문학) 걸리버 여행기 ","조너선 스위프트 지음 ;신정민 엮음 ;윤혜원 그림","","[2019]","9791157560035","","7","4","808.3","1","0","2019-12-24",
"130905912","(How so? 필독도서 세계 명작문학) 로빈슨 크루소 ","대니얼 디포 지음 ;서장원 엮음 ;임운규 그림","","[2019]","9791157560325","","7","3","808.3","1","1","2019-12-24",
"130905911","(How so? 필독도서 세계 명작문학) 톰 소여의 모험 ","마크 트웨인 지음 ;신이주 엮음 ;이미정 그림","","2019","9791157560097","","7","2","808.3","1","0","2019-12-24",
"130905910","(How so? 필독도서 세계 명작문학) 돈키호테 ","미겔 데 세르반테스 지음 ;김연 엮음 ;전병준 그림","한국셰익스피어","2019","9791157560059","","7","1","808.3","1","0","2019-12-24",
"130905909","날씨가 이상해요","이현숙 글;홍선미 그림","다림","2019","9788961772099","","7","","539.9","1","0","2019-12-24",
"130905908","한눈파는 아이 :손택수 동시집 ","지은이: 손택수 ;그린이: 차상미","창비","2019","9788936447502","","7","","811.8","1","0","2019-12-24",
"130905907","땅꼬마 공주","와이앤티 글;전병준 그림","황우(도서출판)","2019","9791157027958","","7","","410","1","0","2019-12-24",
"130905906","(어린이를 위한) 관계 공부 :일상에서 만나는 다양한 사람들과 지혜롭게 소통하고 관계 맺는 법을 배워 보세요! ","글·그림: 이주윤","보랏빛소","2019","9791187856856","","7","","189","1","1","2019-12-24",
"130905905","엄마도 모르는 내 자존감 이야기 :나도 잘 할 수 있어요! :나를 소중히 여기는 자존감 수업 ","문지현;박현경 지음 ;이길수 그림","피그말리온","2019","9791189704056","","7","","182","1","0","2019-12-24",
"130905904","흔한남매","흔한남매 원작;백난도 글;유난희 그림","아이세움","2019","9791164132454","","7","2","813.8","1","1","2019-12-24",
"130905903","파이어족이 온다 :금융위기 후 전 세계 젊은이들을 사로잡은 라이프스타일 혁명 ","지은이: 스콧 리킨스 ;옮긴이: 박은지","지식노마드","2019","9791187481638","","1","","327.04","1","0","2019-12-24",
"130875579","과거 제도 조선을 들썩이다 ","이광희;손주현 지음 ;박양수 그림","푸른숲주니어","2019","9791156752387","","4","","911.05","1","1","2019-12-19",
"130875578","십 대, 미래를 과학하라! ","정재승;장동선;이식;한대희;이정모;고재현;장수진;조천호;황정아;이강환 지음","청어람미디어","2019","9791158711160","","4","","400","1","1","2019-12-19",
"130875577","보물섬","로버트 루이스 스티븐슨 글;노먼 프라이스 그림;김영선 옮김","시공주니어","2019","9788952787989","","7","","808.9","1","1","2019-12-19",
"130875576","(유튜버 잼잼) 미국에 떴다! ","권동화 글 ;민유경 그림","상상의집","","9791155683545","","7","","980.2","1","1","2019-12-19",
"130875575","(이해력이 쑥쑥 교과서) 사회경제 용어 100 ","글: 조시영 ;그림: 이경국","아주좋은날","2019","9791187743705","","6","","300","1","1","2019-12-19",
"130875574","(가장 먼저 읽고 싶은) 어린이 탈무드","양미진 엮음 ;성미리 그림","홍진P&M","2019","9788961424523","","6","","239.3","1","1","2019-12-19",
"130875573","(처음 만나는) 금오신화 ","원작: 김시습 ;편저: 김유진 ;그림: 오현석","미래주니어","2019","9791196598952","","7","","813.5","1","1","2019-12-19",
"130853935","영어회화의 결정적 표현들 ","지은이: 오석태","사람in","2019","9788960498129","","1","","747.5","1","0","2019-12-19",
"130853934","레이튼 미스터리 탐정사무소","안치현 글;팀키즈 그림","미래엔","2019","9791164131808","","7","5","813.8","1","1","2019-12-19",
"130853933","레이튼 미스터리 탐정사무소","안치현 글;팀키즈 그림","미래엔","2019","9791164131792","","7","4","813.8","1","1","2019-12-19",
"130853932","레이튼 미스터리 탐정사무소","안치현 글;팀키즈 그림","미래엔","2019","9791164130542","","7","3","813.8","1","1","2019-12-19",
"130853931","레이튼 미스터리 탐정사무소","안치현 글;팀키즈 그림","미래엔","2019","9791164130535","","7","2","813.8","1","1","2019-12-19",
"130853930","레이튼 미스터리 탐정사무소","안치현 글;팀키즈 그림","미래엔","2019","9791164130528","","7","1","813","1","1","2019-12-19",
"130853929","Why? 쫓겨난 임금 ","글: 이근 ;그림: 극동만화연구소","예림당","2019","9788930238144","","7","14","911","1","1","2019-12-19",
"130853928","Why? 왕비 이야기 ","글: 이근 ;그림: 극동만화연구소","예림당","2019","9788930238229","","7","22","911","1","1","2019-12-19",
"130853927","Why? 의식주와 풍속 ","글: 우덕환 ;그림: 문성기","예림당","2019","9788930238212","","7","21","911","1","1","2019-12-19",
"130853926","Why? 스승과 제자 ","글: 이근 ;그림: 극동만화연구소","예림당","2019","9788930238298","","7","29","911","1","1","2019-12-19",
"130853925","Why? people 토머스 에디슨 ","글쓴이: 김지선 ;그린이: 이두원","예림당","2019","9788930239158","","7","35","990","1","1","2019-12-19",
"130853924","Why? people 레오나르도 다 빈치 =Leonardo da Vinci ","글: 변왕중 ;그림: 정석호;백석봉","예림당","2019","9788930208673","","7","53","990","1","1","2019-12-19",
"130853923","(Who? 인물 한국사) 흥선대원군·명성황후 ","지노 글 ;김광일 그림 ;최인수 정보글","다산어린이","2018","9791156396604","","1","40","991.1","1","1","2019-12-19",
"130853922","(Who? 인물 한국사) 정조 ","글: 최재훈 ;그림: 전상훈 ;정보글: 최인수","다산어린이","2018","9791156396512","","1","31","991.1","1","1","2019-12-19",
"130853921","(Who? 인물 한국사) 정약용 ","권용찬 글 ;이일호 그림 ;최인수 정보글","다산어린이","2018","9791156396550","","1","35","991.1","1","1","2019-12-19",
"130853920","(Who? 인물 한국사) 김홍도·신윤복 ","김승민 글 ;서혁;툰쟁이 [공]그림 ;최인수 정보글","다산어린이","2018","9791156396505","","1","30","991.1","1","1","2019-12-19",
"130853919","(세 원로 철학자가 남겨 준) 인생의 열매들 ","김형석;김태길;안병욱 지음","비전과리더십","2019","9791186245323","","0","","104","1","1","2019-12-19",
"130853918","(교양으로 읽는) 용선생 세계사","글: 차윤석;김선빈;김선혜 ;구성: 장유영;정지윤 ;그림: 이우일;박기종","사회평론","2018","9791162730232","","6","15","909","1","0","2019-12-19",
"130853917","(교양으로 읽는) 용선생 세계사","글: 차윤석;김선빈;김선혜;박병익 ;구성: 장유영;정지윤 ;그림: 이우일;박기종","사회평론","2018","9791162730225","","6","14","909","1","0","2019-12-19",
"130853916","(교양으로 읽는) 용선생 세계사","글: 차윤석;김선빈;김선혜;박병익 ;구성: 장유영;정지윤 ;그림: 이우일;박기종","사회평론","2018","9791162730218","","6","13","909","1","1","2019-12-19",
"130853915","(교양으로 읽는) 용선생 세계사","글: 차윤석;김선빈;박병익;김선혜 ;그림: 이우일;박기종","사회평론","2018","9788964359990","","6","12","909","1","0","2019-12-19",
"130853914","(교양으로 읽는) 용선생 세계사","글: 차윤석;김선빈;박병익;김선혜 ;그림: 이우일;박기종","사회평론","2018","9788964359983","","6","11","909","1","1","2019-12-19",
"127532534","역사가 묻고 지리가 답하다","마경묵,박선희","지상의 책","2019","9791196178666","","","","","1","1","2019-12-19",
"127532533","안녕, 반짝이는 나의 친구들","베아트리체 마시니","우리학교","2019","9791190337021","","","","","1","1","2019-12-19",
"127532532","미스터리 과학 카페","권은아","북트리거","2019","9791189799175","","","","","1","1","2019-12-19",
"127532530","다윈의 기원 비글호 여행","파비앵 그롤로","이데아","2019","9791189143060","","","","","1","1","2019-12-19",
"127532528","몬테크리스토백작","알렉상드르 뒤마","은하수미디어","2019","9788965793755","","","","","1","1","2019-12-19",
"127532527","대한민국 생일은 언제일까요?","이주영","현북스","2019","9791157411542","","","","","1","1","2019-12-19",
