관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"120361099","부시크래프트 캠핑 교과서 =Bushcraft manual :숲과 들판에서 칼과 로프로 가장 멋진 하루를 보내는 와일드 캠핑 스타일 ","가와구치 타쿠 지음 ;신찬 옮김","보누스","2019","9788964944004","","1","","699.2","1","1","2019-10-08",
"120361098","월플라워","스티븐 크보스키 지음;권혁 옮김","돋을새김","2019","9788961671033","","0","","843","1","1","2019-10-08",
"120361097","묻히지 못한 자들의 노래 :제스민 워드 장편소설 ","지은이: 제스민 워드 ;옮긴이: 황근하","위즈덤하우스","2019","9791190065719","","0","","843","1","1","2019-10-08",
"120361096","아이반호 ","월터 스콧 지음 ;서미석 옮김","현대지성","2018","9791187142539","","0","","843","1","1","2019-10-08",
"120361095","술라 :토니 모리슨 장편소설 ","지은이: 토니 모리슨 ;옮긴이: 송은주","문학동네","2015","9788954637626","","0","","843","1","2","2019-10-08",
"120361094","빌러비드:토니 모리슨 장편소설","토니 모리슨 지음;최인자 옮김","문학동네","2019","9788954624398","9788954609012","0","","843","1","2","2019-10-08",
"120361093","테베의 태양 :돌로레스 레돈도 장편소설 ","지은이: 돌로레스 레돈도 ;옮긴이: 엄지영","열린책들","2019","9788932919652","","0","","873","1","2","2019-10-08",
"120360527","블랙박스 ","마이클 코넬리 지음 ;한정아 옮김","RHK(알에이치코리아)","2019","9788925566856","","0","","843","1","1","2019-10-08",
"120360526","고양이가 좋아하는 청소 정리 ","야노 미사에 지음 ;이해란 옮김","국민출판","2019","9788981656317","","1","","597.3","1","1","2019-10-08",
"118881990","(햇살과 바람이 머무는) 작은 집 짓기 =Making a small house :편안하고 아늑한 작은 집을 만드는 건축가 9인의 설계 노하우 ","지은이: 주부의벗사 ;옮긴이: 박재영","삼호미디어","2019","9788978496049","","1","","549.7","1","2","2019-10-08",
"118881989","와인 폴리:당신이 궁금한 와인의 모든 것","Madeline Puckette; Justin Hammack [공]저;김은영;박호준;윤종민 [공]옮김","Youngjin.com(영진닷컴)","2017","9788931454000","","1","","573.2","1","2","2019-10-08",
"118881988","시마 씨의 친절한 냉장고 파먹기 :평범한 재료로 만드는 근사한 가정식 ","지은이: 시마 ;옮긴이: 이진숙","참돌","2019","9791188601264","","1","","594.523","1","3","2019-10-08",
