검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
39,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,8,9788957364819 ,74400,400,9
39,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나문화콘텐츠,2013-2015,25,9788957366622 ,74400,400,9
39,5학년 5반 아이들 ,윤숙희 지음,푸른책들,2013,,9788957983317 ,74810,813.7,9
39,귀신 선생님과 진짜 아이들 ,남동윤 만화,사계절,2014,,9788958288053 ,77810,810,9
39,학교가 괴물로 가득 찬 날 ,강경수 글·그림,위즈덤하우스,2014,,9788962474466 ,74810,813.7,9
39,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,2009-2015,8,9788965590743 ,74840,843,9
39,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,,9788971967751 ,77850,813.6,9
39,동물원,앤서니 브라운 글·그림;장미란 옮김,논장,2002,,9788984140493 ,77840,843,9
61,나쁜 어린이 표,글: 황선미;그림: 권사우,웅진씽크빅,2006,,9788901028514 ,74810,813.6,8
61,돼지책,앤서니 브라운 글·그림;허은미 옮김,웅진닷컴,2001,,9788901033518 ,74840,843,8
61,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011-2012,1,9788925543222 ,74840,843,8
61,"아드님, 진지 드세요 ",강민경 글 ;이영림 그림,좋은책신사고 좋은책어린이,2011,,9788928302802 ,74810,813.7,8
61,Why? 화석 ,글: 이광웅 ;만화: 송회석,예림당,2010,18,9788930202473 ,74450,457,8
61,Why? 남극·북극 ,글: 이광웅 ;만화: 가재발,예림당,2011,19,9788930202480 ,74400,987,8
61,Why? 뇌,남춘자,예림당,2008,36,9788930202657 ,74490,,8
61,Why? 공생과 천적 ,글: 박세준 ;만화: 그림수레,예림당,2012,53,9788930206747 ,73430,400,8
61,Why? 음악 ,글: 조영선 ;그림: 이영호,예림당,2010,3,9788930231367 ,73670,1,8
61,Why? 심리학 ,글: 조영선 ;그림: 그림수레,예림당,2011,11,9788930231428 ,73180,1,8
61,잘못 뽑은 반장 ,이은재 글 ;서영경 그림,김영사,2009,,9788934933700 ,73810,813.6,8
61,과학자와 놀자!,김성화;이광익 그림,창작과비평사,2003,,9788936445348 ,73400,998.4,8
61,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9788936446819 ,77810,813.7,8
61,인도에서 보물찾기,곰돌이 co. 글;강경효 그림,대한교과서,2004,4,9788937813597 ,77900,915,8
61,이집트에서 보물찾기,곰돌이 co. 글;강경효 그림,대한교과서,2005,5,9788937813603 ,77900,932,8
61,독일에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,10,9788937840296 ,77900,925,8
61,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,3,9788937842214 ,77400,400,8
61,고구려 시대 보물찾기,글: 곰돌이co. ;그림: 강경효,아이세움,2010-2011,1,9788937848407 ,77910,911,8
61,토네이도에서 살아남기 ,글: 리메 ;그림: 한현동,미래엔,2013,,9788937884610 ,77470,400,8
61,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,28,9788937884818 ,77400,400,8
61,곰 인형 오토,토미 웅거러 글·그림;이현정 옮김,비룡소,2001,,9788949110738 ,77850,853,8
61,스무고개 탐정과 마술사 ,허교범 글 ;고상미 그림,비룡소,2013,,9788949195193 ,74800,813.7,8
61,책과 노니는 집 ,이영서 글 ;김동성 그림,문학동네,2009,,9788954607346 ,73810,813.6,8
61,공포의 수수께끼 대결 :상상력을 키워 주는 초등 수수께끼 ,도기성 만화,글송이,2012,,9788955726657 ,77700,31,8
61,아빠와 아들,글: 고대영;그림: 한상언,길벗어린이,2007,,9788955820720 ,77810,813.6,8
61,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,5,9788957364642 ,74400,400,8
61,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,6,9788957364703 ,74400,400,8
61,진정한 일곱 살 ,글: 허은미 ;그림: 오정택,양철북,2011,,9788963720456 ,77810,813.7,8
61,나는 나의 주인 ,채인선 글 ;안은진 그림,토토북,2010,,9788964960035 ,73190,189,8
61,도깨비를 빨아 버린 우리 엄마,사토 와키코,한림출판사,1991,,9788970940199 ,77890,,8
61,지구가 100명의 마을이라면,데이비드 스미스 지음;노경실 옮김,푸른숲,2002,,9788971845189 ,73330,330,8
61,7년 동안의 잠 :박완서 그림동화 ,글: 박완서 ;그림: 김세현,작가정신,2015,,9788972887683 ,74810,813.6,8
61,개구리가 알을 낳았어,이성실 글;이태수 그림,다섯수레,2001,,9788974781767 ,74490,490,8
61,(석기 시대 천재 소년)우가,레이먼드 브릭스 글·그림;미루 옮김,문학동네,2003,,9788982816208 ,73840,843,8
61,좋은 엄마 학원,김녹두 글;김용연 그림,문학동네,2004,,9788982818301 ,73810,813.6,8
61,터널,앤서니 브라운 글·그림;장미란 옮김,논장,2002,,9788984140509 ,77840,843,8
61,멋진 여우 씨,로알드 달 글;햇살과나무꾼 옮김,논장,2007,,9788984140943 ,73840,843,8
