기간,구분,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
2018,구로구,여자,"203,275.50","7,821.00","8,305.00","7,272.00","8,730.00","12,491.50","15,218.00","15,329.50","17,407.50","15,357.00","16,328.00","15,180.00","17,068.50","15,115.00","10,850.00","8,137.50","6,326.50","3,729.00","1,755.50",671.5,165.5,17
2018,금천구,계,"230,452.50","7,554.50","7,480.00","7,389.50","10,127.00","15,434.50","19,555.50","17,877.00","18,152.00","16,158.50","19,371.00","19,772.50","21,180.00","16,839.50","11,932.00","9,057.50","6,963.50","3,472.00","1,517.50",477,125.5,16
2018,금천구,남자,"116,926.50","3,879.50","3,825.00","3,735.00","5,209.00","7,872.50","10,304.50","9,804.00","9,890.50","8,494.00","9,932.00","9,909.50","10,565.50","8,232.00","5,833.50","4,292.00","3,180.00","1,358.50",484.5,92,30.5,2.5
2018,금천구,여자,"113,526.00","3,675.00","3,655.00","3,654.50","4,918.00","7,562.00","9,251.00","8,073.00","8,261.50","7,664.50","9,439.00","9,863.00","10,614.50","8,607.50","6,098.50","4,765.50","3,783.50","2,113.50","1,033.00",385,95,13.5
2018,영등포구,계,"360,631.00","13,962.50","12,825.50","11,750.00","14,990.50","22,470.00","32,096.00","32,831.00","32,358.00","27,124.00","29,213.50","26,834.50","28,455.50","23,886.00","17,359.50","13,571.00","10,816.00","6,322.00","2,636.50",890.5,216.5,22
2018,영등포구,남자,"179,631.50","7,213.50","6,474.00","6,229.50","7,898.50","10,897.00","15,543.00","16,724.00","16,851.00","14,013.00","14,969.00","13,615.00","14,119.00","11,663.00","8,346.00","6,469.00","4,865.50","2,608.50",853.5,223.5,52.5,3.5
2018,영등포구,여자,"180,999.50","6,749.00","6,351.50","5,520.50","7,092.00","11,573.00","16,553.00","16,107.00","15,507.00","13,111.00","14,244.50","13,219.50","14,336.50","12,223.00","9,013.50","7,102.00","5,950.50","3,713.50","1,783.00",667,164,18.5
2018,동작구,계,"390,521.50","14,002.00","14,541.00","13,739.00","17,254.00","28,466.50","35,727.50","32,379.00","33,657.00","29,649.50","31,336.00","27,971.00","29,961.00","25,455.00","18,637.00","15,107.00","11,859.00","6,612.50","2,879.50","1,012.50",246,29.5
2018,동작구,남자,"190,182.50","7,136.50","7,463.00","7,151.00","8,827.00","13,894.00","17,935.50","16,220.50","17,015.50","14,925.00","15,602.00","13,404.50","14,089.00","11,877.00","8,479.50","6,801.50","5,493.50","2,647.50",906,250.5,57,6.5
2018,동작구,여자,"200,339.00","6,865.50","7,078.00","6,588.00","8,427.00","14,572.50","17,792.00","16,158.50","16,641.50","14,724.50","15,734.00","14,566.50","15,872.00","13,578.00","10,157.50","8,305.50","6,365.50","3,965.00","1,973.50",762,189,23
2018,관악구,계,"494,637.50","14,108.00","14,199.50","14,209.50","19,096.00","39,581.00","61,974.50","48,149.00","42,657.50","35,066.00","37,259.50","33,108.00","35,718.00","30,713.50","23,908.50","19,075.00","14,606.00","7,075.50","2,891.50",975.5,225,40.5
2018,관악구,남자,"248,663.50","7,227.50","7,304.50","7,315.50","9,833.50","18,310.50","32,290.50","26,339.00","23,051.50","18,851.00","19,548.00","16,490.50","17,012.50","14,158.50","11,126.00","8,817.50","6,859.00","2,933.00",929,214.5,48,3.5
2018,관악구,여자,"245,974.00","6,880.50","6,895.00","6,894.00","9,262.50","21,270.50","29,684.00","21,810.00","19,606.00","16,215.00","17,711.50","16,617.50","18,705.50","16,555.00","12,782.50","10,257.50","7,747.00","4,142.50","1,962.50",761,177,37
2018,서초구,계,"429,232.00","16,538.00","21,859.50","22,594.00","24,614.00","26,458.50","30,820.00","31,700.00","37,626.50","37,888.50","41,313.00","31,471.00","29,146.00","25,389.50","18,277.50","14,343.00","9,651.50","5,449.00","2,656.50","1,138.00",266.5,31.5
2018,서초구,남자,"205,625.50","8,473.00","11,240.00","11,522.50","12,566.00","13,188.00","14,568.00","14,498.50","17,250.50","17,568.00","20,124.50","15,507.00","13,847.00","11,740.50","8,433.00","6,825.00","4,747.00","2,313.00",870.5,278.5,58,7
2018,서초구,여자,"223,606.50","8,065.00","10,619.50","11,071.50","12,048.00","13,270.50","16,252.00","17,201.50","20,376.00","20,320.50","21,188.50","15,964.00","15,299.00","13,649.00","9,844.50","7,518.00","4,904.50","3,136.00","1,786.00",859.5,208.5,24.5
2018,강남구,계,"537,081.50","17,332.50","22,869.50","27,143.00","34,348.00","35,796.00","41,097.50","41,325.00","46,521.00","45,155.50","53,003.00","41,559.00","36,116.00","31,432.50","22,799.00","17,451.50","11,553.50","6,418.00","3,342.00","1,403.00",365.5,50.5
2018,강남구,남자,"257,212.00","8,899.00","11,814.00","14,195.00","18,131.00","17,772.50","19,273.00","18,931.50","21,148.00","20,656.00","25,248.00","20,733.50","17,395.50","14,405.50","10,549.00","8,369.00","5,627.50","2,663.00",984.5,327.5,80.5,8.5
2018,강남구,여자,"279,869.50","8,433.50","11,055.50","12,948.00","16,217.00","18,023.50","21,824.50","22,393.50","25,373.00","24,499.50","27,755.00","20,825.50","18,720.50","17,027.00","12,250.00","9,082.50","5,926.00","3,755.00","2,357.50","1,075.50",285,42
2018,송파구,계,"656,198.00","25,933.50","28,566.50","29,018.50","35,126.00","42,757.00","50,973.00","53,940.50","59,264.00","52,057.00","57,185.50","49,902.00","51,280.50","43,444.50","29,164.50","20,279.00","13,589.50","7,809.50","3,944.50","1,541.50",368.5,52.5
2018,송파구,남자,"318,619.00","13,471.00","14,648.50","14,932.50","18,047.00","21,413.00","24,367.50","25,806.50","28,538.50","25,232.00","27,620.00","24,286.00","24,283.50","20,553.50","14,391.50","10,055.00","6,371.00","3,054.50","1,124.00",336.5,80,7
2018,송파구,여자,"337,579.00","12,462.50","13,918.00","14,086.00","17,079.00","21,344.00","26,605.50","28,134.00","30,725.50","26,825.00","29,565.50","25,616.00","26,997.00","22,891.00","14,773.00","10,224.00","7,218.50","4,755.00","2,820.50","1,205.00",288.5,45.5
2018,강동구,계,"425,539.00","15,461.50","17,339.50","17,758.50","22,354.00","27,445.50","31,190.00","31,271.00","36,370.00","32,582.00","36,413.00","33,513.00","36,822.00","31,042.50","21,054.00","14,796.00","10,191.00","5,672.50","2,867.00","1,104.00",250,42
2018,강동구,남자,"210,891.00","7,946.00","9,046.00","9,389.00","11,784.50","14,243.00","15,741.50","15,714.50","18,305.50","16,331.00","18,118.00","16,402.00","17,620.50","14,745.00","10,330.00","7,267.50","4,783.00","2,083.50",771,212.5,49,8
2018,강동구,여자,"214,648.00","7,515.50","8,293.50","8,369.50","10,569.50","13,202.50","15,448.50","15,556.50","18,064.50","16,251.00","18,295.00","17,111.00","19,201.50","16,297.50","10,724.00","7,528.50","5,408.00","3,589.00","2,096.00",891.5,201,34
