"","기간","자치구","loan_count","인구합계","0.4세","5.9세","10.14세","15.19세","20.24세","25.29세","30.34세","35.39세","40.44세","45.49세","50.54세","55.59세","60.64세","65.69세","70.74세","75.79세","80.84세","85.89세","90.94세","95.99세","100세.이상.","전체세대","1인세대","2인세대","3인세대","4인세대","5인세대","6인세대","7인세대","8인세대","9인세대","10인세대.이상"
"66",2018,"강서구",17606,592308.5,24042.5,23866,22606.5,27825,37893,49163.5,51195.5,55468.5,46357.5,47686,42438,47555,40202,27610.5,19862.5,14318,8188.5,4137.5,1506,342.5,44,258503,97429,56974,48238,42634,10322,2167,526,140,49,24
"67",2018,"구로구",10305,402970.5,15942.5,16766.5,14970,18176.5,25088.5,29999.5,30767,35795.5,31836.5,33216.5,30228.5,32942.5,28682,20897.5,15956.5,11766.5,6290.5,2571.5,850.5,205.5,20,172457,62904,38316,32605,29225,7252,1612,382,104,38,19
"68",2018,"금천구",13260,230452.5,7554.5,7480,7389.5,10127,15434.5,19555.5,17877,18152,16158.5,19371,19772.5,21180,16839.5,11932,9057.5,6963.5,3472,1517.5,477,125.5,16,107971,46842,23081,17997,15103,3779,870,210,52,22,15
"69",2018,"영등포구",5481,360631,13962.5,12825.5,11750,14990.5,22470,32096,32831,32358,27124,29213.5,26834.5,28455.5,23886,17359.5,13571,10816,6322,2636.5,890.5,216.5,22,171085,76795,34146,28128,24538,5738,1282,314,89,22,33
"70",2018,"동작구",6213,390521.5,14002,14541,13739,17254,28466.5,35727.5,32379,33657,29649.5,31336,27971,29961,25455,18637,15107,11859,6612.5,2879.5,1012.5,246,29.5,177176,73426,36424,30966,27729,6609,1469,400,99,33,21
"71",2018,"관악구",5691,494637.5,14108,14199.5,14209.5,19096,39581,61974.5,48149,42657.5,35066,37259.5,33108,35718,30713.5,23908.5,19075,14606,7075.5,2891.5,975.5,225,40.5,262222,142742,48591,33787,28087,6823,1576,425,129,37,25
"72",2018,"서초구",12842,429232,16538,21859.5,22594,24614,26458.5,30820,31700,37626.5,37888.5,41313,31471,29146,25389.5,18277.5,14343,9651.5,5449,2656.5,1138,266.5,31.5,172918,57213,34019,34110,35896,8780,2067,552,177,59,45
"73",2018,"강남구",37586,537081.5,17332.5,22869.5,27143,34348,35796,41097.5,41325,46521,45155.5,53003,41559,36116,31432.5,22799,17451.5,11553.5,6418,3342,1403,365.5,50.5,228775,88584,42357,40866,43665,10097,2292,618,180,77,39
"74",2018,"송파구",29302,656198,25933.5,28566.5,29018.5,35126,42757,50973,53940.5,59264,52057,57185.5,49902,51280.5,43444.5,29164.5,20279,13589.5,7809.5,3944.5,1541.5,368.5,52.5,270866,90734,55726,54172,54371,12242,2704,623,207,56,31
"75",2018,"강동구",25328,425539,15461.5,17339.5,17758.5,22354,27445.5,31190,31271,36370,32582,36413,33513,36822,31042.5,21054,14796,10191,5672.5,2867,1104,250,42,177247,61564,37946,34542,32974,7933,1695,429,110,27,27
